Area_Name,Year,Cases_Property_Stolen,Victims_Total,Total_Cases_for_Trial,Unnamed: 3
Jammu & Kashmir,2001,1345,1412,0,
Jammu & Kashmir,2001,1345,1412,0,10.0
Jammu & Kashmir,2001,1345,1412,0,0.0
Jammu & Kashmir,2001,1345,1412,0,0.0
Jammu & Kashmir,2001,1345,1412,0,0.0
Jammu & Kashmir,2001,1345,1412,5782,
Jharkhand,2001,1150,291,1369,
Jharkhand,2001,1150,291,1134,
Jharkhand,2001,1150,291,586,
Jharkhand,2001,1150,291,1373,
Jharkhand,2001,1150,291,60,
Jharkhand,2001,1150,291,1059,
Jharkhand,2001,1150,291,12,
Jharkhand,2001,1150,291,0,11.0
Jharkhand,2001,1150,291,0,12.0
Jharkhand,2001,1150,291,0,0.0
Jharkhand,2001,1150,291,0,0.0
Jharkhand,2001,1150,291,6563,
Jharkhand,2001,1150,1216,1369,
Jharkhand,2001,1150,1216,1134,
Jharkhand,2001,1150,1216,586,
Jharkhand,2001,1150,1216,1373,
Jharkhand,2001,1150,1216,60,
Jharkhand,2001,1150,1216,1059,
Jharkhand,2001,1150,1216,12,
Jharkhand,2001,1150,1216,0,11.0
Jharkhand,2001,1150,1216,0,12.0
Jharkhand,2001,1150,1216,0,0.0
Jharkhand,2001,1150,1216,0,0.0
Jharkhand,2001,1150,1216,6563,
Jharkhand,2001,1150,1507,1369,
Jharkhand,2001,1150,1507,1134,
Jharkhand,2001,1150,1507,586,
Jharkhand,2001,1150,1507,1373,
Jharkhand,2001,1150,1507,60,
Jharkhand,2001,1150,1507,1059,
Jharkhand,2001,1150,1507,12,
Jharkhand,2001,1150,1507,0,11.0
Jharkhand,2001,1150,1507,0,12.0
Jharkhand,2001,1150,1507,0,0.0
Jharkhand,2001,1150,1507,0,0.0
Jharkhand,2001,1150,1507,6563,
Karnataka,2001,6394,577,1335,
Karnataka,2001,6394,577,860,
Karnataka,2001,6394,577,762,
Karnataka,2001,6394,577,4390,
Karnataka,2001,6394,577,193,
Karnataka,2001,6394,577,4938,
